Intervalo 0
dar -> 0.01271940981938438
ly -> 0.012973798015772068
pi -> 0.013100992113965912
da -> 0.013100992113965912
entr -> 0.013228186212159756
gan -> 0.013355380310353599
go -> 0.013355380310353599
robben -> 0.013482574408547443
vc -> 0.013482574408547443

Intervalo 11
fez -> 0.010169006015468347
menos -> 0.010169006015468347
hahah -> 0.010169006015468347
nad -> 0.01031223145230593
2o -> 0.01031223145230593
sempr -> 0.01031223145230593
#brasil -> 0.010455456889143512
sao -> 0.010455456889143512
chut -> 0.010455456889143512
lo -> 0.010455456889143512
aparec -> 0.010741907762818676
olh -> 0.010741907762818676
dand -> 0.010741907762818676
coloc -> 0.010885133199656259
entr -> 0.010885133199656259
dess -> 0.010885133199656259
deix -> 0.01102835863649384
acord -> 0.01102835863649384
marc -> 0.01102835863649384
c -> 0.011171584073331424
hj -> 0.011171584073331424
fif -> 0.011171584073331424
tt -> 0.011314809510169006
camp -> 0.011458034947006588
n -> 0.01160126038384417
bonit -> 0.01160126038384417
#arg -> 0.011744485820681752
ne -> 0.011744485820681752
tao -> 0.011887711257519336
parec -> 0.011887711257519336
lind -> 0.011887711257519336
el -> 0.011887711257519336
mat -> 0.011887711257519336
deu -> 0.012030936694356918
mand -> 0.012030936694356918
cois -> 0.0121741621311945
vez -> 0.012317387568032082
bande -> 0.012460613004869664
3 -> 0.012460613004869664
porqu -> 0.012460613004869664
dar -> 0.012603838441707248
dev -> 0.01274706387854483
pq -> 0.01274706387854483
@ivetesangalo -> 0.013176740189057576
#torcidaivet -> 0.013176740189057576
tom -> 0.013319965625895158
robben -> 0.013319965625895158
part -> 0.013319965625895158
comec -> 0.013319965625895158
buen -> 0.013319965625895158

Intervalo 12
y -> 0.010082097076191848
boa -> 0.010082097076191848
sort -> 0.010082097076191848
pq -> 0.010082097076191848
coraca -> 0.01022612703442316
galva -> 0.010370156992654473
acab -> 0.010370156992654473
car -> 0.010370156992654473
lind -> 0.010514186950885785
yn -> 0.010514186950885785
felip -> 0.010802246867348408
ly -> 0.01094627682557972
s -> 0.01094627682557972
clar -> 0.011090306783811033
gan -> 0.011234336742042345
sab -> 0.011234336742042345
vc -> 0.011234336742042345
twitt -> 0.011378366700273658
da -> 0.011378366700273658
dar -> 0.01166642661673628
deu -> 0.011810456574967593
3 -> 0.012098516491430218
doi -> 0.012098516491430218
continu -> 0.01224254644966153
buen -> 0.012386576407892841
cas -> 0.012530606366124153
hor -> 0.012674636324355466
tom -> 0.012818666282586778
tiemp -> 0.013106726199049403
substitu -> 0.013106726199049403
boc -> 0.013250756157280715
jagg -> 0.013394786115512026
p -> 0.013538816073743338
falt -> 0.01368284603197465
junt -> 0.01368284603197465
fal -> 0.01368284603197465
camis -> 0.01368284603197465
precis -> 0.01368284603197465
#brasil -> 0.013826875990205963
bor -> 0.013826875990205963
glob -> 0.013826875990205963
mick -> 0.013970905948437275
voc -> 0.013970905948437275
contr -> 0.014114935906668588
cal -> 0.014114935906668588
aind -> 0.014258965864899898
part -> 0.014547025781362523
gost -> 0.014691055739593836
pass -> 0.014691055739593836
